Województwo i rok;Produkt_Krajowy_Brutto_na_mieszkañca_(z³);Stopa_bezrobocia_rejestrowanego_(%);Przeciêtne_miesiêczne_wynagrodzenie_brutto_(czwarty_kwarta³)_(z³);Liczba_ludnoœci_w_wieku_produkcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_przedprodukcyjnym_na_1000_ludnoœci;Liczba_ludnoœci_w_wieku_poprodukcyjnym_na_1000_ludnoœci;Gêstoœæ_zaludnienia_(osoba/km^2);Przyrost_naturalny_na_1000_ludnoœci;Liczba_urodzeñ_na_1000_ludnoœci;Przeciêtne_trwanie_¿ycia_(lata);Liczba_ma³¿eñstw_na_1000_ludnoœci;Zezwolenia_na_pracê_dla_cudzoziemców_na_1000_ludnoœci;Liczba_studentów_na_10000_ludnoœci;Mieszkania_oddane_do_u¿ytkowania_na_1000_ludnoœci;Saldo_migracji_wewnêtrznych
Podkarpackie_2023;64819;8,7;6835,93;591,97;185,29;222,74;116,1;-2,33;7,17;80;3,7;1,6;214;4,2;-2664
Podkarpackie_2024;71021;8,7;7875,52;589,07;182,71;228,22;115,6;-3,12;6,7;80;3,3;1,9;221;4,1;-2829
Podlaskie_2010;27381;13,8;3234,87;635,54;190,34;174,11;59,6;0,09;9,9;77;5,8;0,29;441;3,6;-1616
Podlaskie_2011;29672;14,1;3382,83;636,77;185,93;177,3;59,5;-0,41;9,28;78;5,2;0,26;424;3,7;-1898
Podlaskie_2012;30288;14,7;3477,54;636,75;182,24;181;59,4;-0,58;9,3;78;5,3;0,25;391;3,8;-1745
Podlaskie_2013;31372;15,1;3593,51;635,68;179,09;185,23;59,2;-1,28;8,88;78;4,7;0,3;352;3,5;-2053
Podlaskie_2014;32350;12,9;3716,84;633,9;176,57;189,53;59;-0,69;9,24;78;5,1;0,29;322;3,5;-1912
Podlaskie_2015;33272;11,8;3827,16;631,19;174,46;194,35;58,9;-1,24;9,09;78;5,1;0,54;300;4;-1907
Podlaskie_2016;34312;10,3;3984,65;627,2;173,67;199,12;58,8;-0,76;9,58;78;5,3;0,85;288;4;-1565
Podlaskie_2017;37140;8,5;4309,67;621,92;173,92;204,16;58,7;-0,4;10,17;79;5;2,45;266;4,2;-1866
Podlaskie_2018;39160;7,7;4559,54;616,52;174,25;209,23;58,5;-1;9,97;78;5;4,52;252;4,2;-2281
Podlaskie_2019;42976;6,9;4886,7;610,32;174,63;215,05;58,4;-0,98;9,62;79;4,7;8,31;245;5,2;-2459
Podlaskie_2020;44522;7,8;5321,26;598,11;181,23;220,67;57,3;-3,5;9,1;78;3,8;10,79;245;5,5;-1702
Podlaskie_2021;50378;7,8;5835,07;594,05;182,2;223,75;56,9;-5,74;8,77;76;4,3;11,76;251;6,7;-1657
Podlaskie_2022;59818;7;6265,7;589,21;181,93;228,86;56,6;-3,76;7,99;78;4;9,83;250;5,7;-1526
Podlaskie_2023;69796;7;7247,51;584,64;180,46;234,9;56,4;-3,31;7,26;79;3,6;20,3;251;6;-1844
Podlaskie_2024;75601;7;8216,25;581,05;178,26;240,69;56,1;-3,92;6,66;80;3,3;11,55;262;5,6;-1858
Pomorskie_2010;36017;12,3;3573,47;645,64;200,84;153,52;124,3;3,33;11,84;77;6;1,05;471;5,2;2749
Pomorskie_2011;39054;12,5;3731,85;642,53;198,67;158,8;124,7;2,51;10,99;77;5,4;1,09;459;5,2;2618
Pomorskie_2012;41341;13,4;3836,23;638,48;197,03;164,49;125,1;2;10,96;77;5,3;0,84;465;6,2;2437
Pomorskie_2013;41457;13,2;3957,92;633,74;195,56;170,7;125,4;1,68;10,44;78;4,7;0,84;444;5,2;3240
Pomorskie_2014;42558;11,1;4164,33;628,17;194,69;177,14;125,7;1,95;10,71;78;5;0,9;426;4,7;3059
Pomorskie_2015;44955;8,9;4350;622,35;194,04;183,6;126;1,55;10,67;78;5,1;1,79;414;5,7;3344
Pomorskie_2016;46827;7,1;4467,88;615,95;194,41;189,63;126,5;2,04;11,19;78;5,4;3,41;401;5,7;3485
Pomorskie_2017;50020;5,4;4779,32;609,12;195,52;195,36;126,9;2,51;11,85;78;5,4;5,37;371;6,8;3625
Pomorskie_2018;53497;4,9;5097,63;603,14;196,46;200,4;127,4;1,76;11,38;78;5,4;8,97;358;7,2;4920
Pomorskie_2019;58031;4,5;5458,61;597,73;197,14;205,13;127,9;1,54;11,14;78;5,1;12,97;354;7,9;5953
Pomorskie_2020;57669;5,9;5772,86;596,47;197,14;206,39;128,7;-0,5;10,39;77;4;9,94;366;8,1;3825
Pomorskie_2021;66793;5,2;6451,5;592,89;198,05;209,06;128,7;-2,01;9,9;76;4,7;16,39;369;9,2;4591
Pomorskie_2022;81149;4,6;7166,76;590,04;197,74;212,21;128,6;-1,89;8,9;77;4,5;13,62;379;8,7;4047
Pomorskie_2023;86245;4,6;7923,08;587,87;196,04;216,08;120,7;-1,62;8,11;79;4,1;8,15;387;8,2;4382
Pomorskie_2024;92806;4,6;8963,95;587,08;193,49;219,43;120,7;-2,47;7,47;79;3,9;8,69;403;7,7;4869
Œl¹skie_2010;40201;10;3913,18;651,82;172,59;175,59;375,8;0,02;10,31;76;6,1;0,49;391;2,2;-3194
Œl¹skie_2011;43693;10,2;4048,62;648,06;170,91;181,04;375,1;-0,63;9,68;76;5,5;0,41;368;2,1;-3652
Œl¹skie_2012;44863;11,1;4274,46;643,44;169,58;186,98;374,3;-0,97;9,64;76;5,4;0,33;344;2,1;-3298
Œl¹skie_2013;44796;11,3;4412,86;638,01;168,8;193,19;372,9;-1,37;9,3;76;4,8;0,31;314;2,3;-3880
Œl¹skie_2014;46499;9,6;4458,74;631,94;168,17;199,89;371,8;-1,11;9,3;77;5;0,28;294;2,1;-3633
Œl¹skie_2015;48670;8,2;4557,09;625,41;167,92;206,67;370,6;-1,92;9,09;77;4,9;0,44;277;2,2;-3449
Œl¹skie_2016;50172;6,6;4534,95;618,19;168,3;213,52;369,7;-1,36;9,36;77;5;1,57;264;2,4;-3428
Œl¹skie_2017;53495;5,1;4842,99;610,55;169,46;219,99;368,8;-1,41;9,88;77;4,9;5,09;260;2,7;-3260
Œl¹skie_2018;57255;4,3;5254,44;603,29;170,31;226,4;367,6;-2,11;9,38;77;4,9;4,84;253;2,7;-4231
Œl¹skie_2019;60963;3,6;5574,69;596,37;171,03;232,6;366,3;-2,49;8,95;77;4,7;8,65;250;3,1;-4275
Œl¹skie_2020;60091;4,9;5951,15;590,11;173,92;235,98;357,7;-4,95;8,62;76;3,7;7,81;259;4,1;-3342
Œl¹skie_2021;71388;4,3;6392,21;585,98;174,77;239,24;354,8;-7,15;7,91;75;4,3;12,41;264;3,9;-3690
Œl¹skie_2022;85131;3,7;7282,82;581,93;174,42;243,65;352,4;-5,76;7,25;77;3,9;8,56;267;4,3;-3592
Œl¹skie_2023;93566;3,6;8301,4;578,51;172,88;248,6;350,3;-5,56;6,38;78;3,7;7,39;268;4,4;-2611
Œl¹skie_2024;97509;3,6;9094,93;576,18;170,42;253,4;347,9;-6,05;5,9;78;3,5;7,72;282;4;-2883
Œwiêtokrzyskie_2010;28968;15,2;3200,59;636,12;182,57;181,31;109,5;-1,21;9,69;76;6,1;0,36;357;1,8;-2567
Œwiêtokrzyskie_2011;30957;15,2;3325,54;634,57;178,92;186,51;109,1;-1,66;9,06;77;5,4;0,4;331;2,3;-2408
Œwiêtokrzyskie_2012;31642;16;3446,31;632,06;175,81;192,13;108,8;-1,92;9,02;77;5,3;0,31;302;2,4;-2180
Œwiêtokrzyskie_2013;31392;16,6;3517,19;629,13;172,88;197,99;108,3;-2,73;8,44;77;4,6;0,25;266;2,3;-2618
Œwiêtokrzyskie_2014;32640;14,1;3581,68;625,56;170,37;204,07;107,9;-2,27;8,5;78;4,8;0,26;239;2,8;-2464
Œwiêtokrzyskie_2015;33841;12,5;3790,89;621,14;168,39;210,48;107,4;-3,04;8,4;78;4,7;0,48;214;2,7;-2268
Œwiêtokrzyskie_2016;34672;10,8;3903,62;616,14;166,88;216,97;107;-2,66;8,46;78;4,8;1,41;198;2,4;-1971
Œwiêtokrzyskie_2017;36909;8,8;4177,71;610,51;166,14;223,35;106,5;-2,73;8,73;78;4,7;2,61;203;2,5;-2426
Œwiêtokrzyskie_2018;39742;8,3;4438,58;604,52;165,59;229,89;106;-3,13;8,62;78;4,7;3,36;183;2,6;-2628
Œwiêtokrzyskie_2019;42666;8;4780,91;598,57;164,85;236,58;105,4;-3,45;8,26;78;4,3;5;163;3,1;-3719
Œwiêtokrzyskie_2020;43646;8,5;5029,82;584,24;170,17;245,59;102,4;-6,49;7,87;76;3,5;3,97;163;3,3;-2143
Œwiêtokrzyskie_2021;50301;8,7;5452,01;580,39;169,99;249,61;101,4;-8,12;7,31;76;4,2;7,61;166;3,8;-2421
Œwiêtokrzyskie_2022;56507;7,8;6048,64;576,15;168,97;254,88;100,6;-6,45;6,9;77;3,7;6,96;163;3,7;-2270
Œwiêtokrzyskie_2023;67558;7,8;6780,42;572,48;166,87;260,66;99,8;-6,09;6,17;78;3,3;3,48;156;3,7;-2766
Œwiêtokrzyskie_2024;74695;7,6;7976,2;569,39;164,29;266,32;98,9;-6,69;5,56;78;3,1;4,22;166;4,1;-2755
Warmiñsko-mazurskie_2010;27197;20;3095,2;653,93;199,56;146,51;60,1;1,95;10,85;76;5,8;0,41;344;3,3;-2721
Warmiñsko-mazurskie_2011;29257;20,2;3185,26;652,57;195,84;151,59;60,1;1,25;10,15;76;5,3;0,23;321;3,1;-2952
Warmiñsko-mazurskie_2012;30232;21,3;3287,38;649,94;192,79;157,27;60;0,63;9,87;76;5,2;0,22;307;3,8;-2413
Warmiñsko-mazurskie_2013;30776;21,6;3379,13;646,72;189,94;163,34;59,9;-0,21;9,41;76;4,5;0,19;272;3,3;-2707
Warmiñsko-mazurskie_2014;31955;18,7;3535,68;642,28;187,57;170,15;59,7;0,59;9,66;77;4,8;0,32;246;3;-2794
Warmiñsko-mazurskie_2015;33179;16,2;3713,23;637,23;185,41;177,36;59,6;-0,51;9,1;77;4,8;0,35;229;3;-2609
Warmiñsko-mazurskie_2016;34478;14,2;3828,4;631,44;184,05;184,51;59,4;-0,44;9,35;77;4,7;1,03;211;3,2;-2703
Warmiñsko-mazurskie_2017;36416;11,7;4021,35;625,11;183,63;191,26;59,3;0,08;10,13;77;4,8;3,65;202;3,3;-2443
Warmiñsko-mazurskie_2018;37843;10,4;4275,06;618,86;183,16;197,98;59,1;-0,9;9,56;77;4,7;4,85;190;3,6;-3397
Warmiñsko-mazurskie_2019;40830;9,1;4574,7;612,41;182,49;205,1;58,9;-1,39;9,05;77;4,5;7,38;182;4,1;-3771
Warmiñsko-mazurskie_2020;42566;10,2;5051,32;599,84;185,68;214,49;57,3;-3,34;8,71;76;3,4;4,82;177;4,6;-2113
